INFO  | 2022-06-04 02:24:47 | [main] driver.Waiter (Waiter.java:47) - Wait until list of elements to be visible [[[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_456']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_456']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_456']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_456']//md-content/md-option]]
INFO  | 2022-06-04 02:24:47 | [main] driver.Waiter (Waiter.java:42) - Wait until element to be visible [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_456']//md-content/md-option]
INFO  | 2022-06-04 02:24:48 | [main] google.CalculatorPage (CalculatorPage.java:208) - Set SSD value to 2x375 GB
INFO  | 2022-06-04 02:24:48 | [main] driver.Waiter (Waiter.java:37) - Wait until element to be clickable [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@placeholder='Local SSD']] and click
INFO  | 2022-06-04 02:24:48 | [main] driver.Waiter (Waiter.java:47) - Wait until list of elements to be visible [[[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option]]
INFO  | 2022-06-04 02:24:48 | [main] driver.Waiter (Waiter.java:42) - Wait until element to be visible [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_411']//md-content/md-option]
INFO  | 2022-06-04 02:24:49 | [main] google.CalculatorPage (CalculatorPage.java:225) - Set Usage Time to 1 Year
INFO  | 2022-06-04 02:24:49 | [main] driver.Waiter (Waiter.java:42) - Wait until element to be visible [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> css selector: [placeholder='Committed usage']]
INFO  | 2022-06-04 02:24:49 | [main] driver.Waiter (Waiter.java:47) - Wait until list of elements to be visible [[[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_126']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_126']//md-content/md-option], [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_126']//md-content/md-option]]
INFO  | 2022-06-04 02:24:49 | [main] driver.Waiter (Waiter.java:42) - Wait until element to be visible [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //div[@id='select_container_126']//md-content/md-option]
INFO  | 2022-06-04 02:24:49 | [main] google.CalculatorPage (CalculatorPage.java:216) - Set Server Location to Frankfurt
INFO  | 2022-06-04 02:24:49 | [main] driver.Waiter (Waiter.java:37) - Wait until element to be clickable [[ChromeDriver: chrome on WINDOWS (3c368c7beeaf7708f6b71be93a25d40d)] -> xpath: //*[@ng-model='listingCtrl.computeServer.location']] and click
